Villages	Year	Avg_Temp_C	Avg_Humidity_Percent	Soil_Type	Soil_pH	Crop_Name	Crop_Season	Soil_N_kg_ha	Soil_P_kg_ha	Soil_K_kg_ha	Rainfall_mm	Yield_kg_ha	Fertilizer_Type	Fertilizer_Quantity_kg_ha	Farm_Area_ha
Nandre	2024	35	39.5	Light Black Soil	7.528306338	Onion	Summer	131.3	13.8	364.8	0	23407	UREA + 19:19:19	240	2.64
Nane	2024	33.7	35.5	Mixed Soil	8.084436936	Summer Maize	Summer	242.9	19.9	284	0	3498	DAP	221	4.02
Narvhal	2024	33.6	39.2	Light Black Soil	7.383038532	Onion	Summer	291	21.1	366.3	0	24083	UREA + 19:19:19	159	1.92
Navakothare	2024	34.1	33.1	Mixed Soil	6.930865847	Onion	Summer	222.3	16.3	274.3	0	20856	UREA + 19:19:19	185	1.31
Navalane	2024	33.2	31.9	Mixed Soil	7.29257747	Onion	Summer	171.2	21.4	204.3	0	27724	UREA + 19:19:19	157	2.16
Nawalnagar	2024	33.5	38.6	Mixed Soil	7.074076188	Onion	Summer	123.2	10.7	212.2	0	22943	UREA + 19:19:19	275	1.64
Nawra	2024	34.7	30.6	Light Black Soil	7.943758122	Summer Maize	Summer	271.1	20.6	342.3	0	3114	DAP	217	4.72
Nawri	2024	34.8	35.4	Light Black Soil	7.846496304	Summer Maize	Summer	119.6	17.4	342	0	3437	DAP	235	4.23
Nikumbhe	2024	34.6	39.6	Light Black Soil	7.706723005	Summer Maize	Summer	134.6	16.5	319.6	0	2986	DAP	239	3.53
Nimdale	2024	35.4	38.4	Light Black Soil	7.897168472	Summer Maize	Summer	223.2	19.5	213.6	0	2632	DAP	223	4.49
Nimgul	2024	32.6	31.7	Medium Black Soil	8.142937662	Summer Maize	Summer	174.9	19.4	350.9	0	3039	DAP	223	4.21
Nimkhedi	2024	34.4	38.7	Light Black Soil	7.349256047	Onion	Summer	271.3	19.9	248.9	0	29267	UREA + 19:19:19	166	1.75
Nurnagar	2024	33.6	37.2	Mixed Soil	8.317350297	Summer Maize	Summer	114.1	19.6	208	0	3381	DAP	235	4.57
Nyahalod	2024	34.3	35.8	Light Black Soil	7.631473794	Summer Maize	Summer	217.2	24.1	372.6	0	3419	DAP	197	3.16
Padalde	2024	35.1	35.4	Light Black Soil	7.845952124	Summer Maize	Summer	177.6	19.6	337.5	0	3369	DAP	222	4.23
Pimparkhede	2024	35.1	33.5	Light Black Soil	7.91687304	Summer Maize	Summer	209.1	24.1	315.8	0	2815	DAP	197	4.58
Pimpri	2024	33.4	34.7	Medium Black Soil	7.75440278	Onion	Summer	292.2	23.6	258.7	0	24216	UREA + 19:19:19	145	2.27
Purmepada	2024	35	35.4	Mixed Soil	6.987088272	Onion	Summer	113.9	11.5	205.5	0	27409	UREA + 19:19:19	291	1.44
Rami	2024	35	32.5	Medium Black Soil	7.68234813	Onion	Summer	118.9	20.2	221.4	0	21173	UREA + 19:19:19	232	1.91
Ranmala	2024	33.2	32.2	Mixed Soil	7.526083241	Onion	Summer	163.8	22.7	207	0	22867	UREA + 19:19:19	150	2.71
Ratanpura	2024	33	34.3	Mixed Soil	8.190625102	Summer Maize	Summer	262.9	14.2	235.4	0	2914	DAP	252	4.27
Raver	2024	33.3	33.2	Light Black Soil	7.888584467	Summer Maize	Summer	239.3	19.4	463.2	0	3113	DAP	223	4.44
Sadgaon	2024	32.7	33.4	Mixed Soil	6.811818622	Onion	Summer	247	22.1	284.6	0	29612	UREA + 19:19:19	153	1.03
Saitale	2024	34.9	39	Mixed Soil	7.668270414	Summer Maize	Summer	135.5	21.3	442.1	0	2646	DAP	213	3.04
Sanjori	2024	33.6	34.3	Light Black Soil	7.533928803	Onion	Summer	298.1	16.2	311.6	0	25180	UREA + 19:19:19	186	2.67
Sarvad	2024	35.3	31.9	Mixed Soil	7.177583278	Onion	Summer	255.3	15.1	479.2	0	21922	UREA + 19:19:19	192	1.89
Satarne	2024	32.6	36.6	Mixed Soil	7.003771124	Onion	Summer	271.7	16.4	425.3	0	29518	UREA + 19:19:19	185	1.48
Saundane	2024	33.4	32.2	Light Black Soil	7.470092137	Onion	Summer	250.9	11.5	470.8	0	21288	UREA + 19:19:19	212	2.35
Savali	2024	34.8	30.6	Light Black Soil	7.954327763	Summer Maize	Summer	201.1	22.4	296	0	3077	DAP	207	4.77
Sawalade	2024	33.2	31.5	Mixed Soil	7.349444984	Onion	Summer	279.1	15.8	203.3	0	27284	UREA + 19:19:19	188	2.29
Sawali Tanda	2024	33.2	39.3	Mixed Soil	7.681944057	Summer Maize	Summer	281.1	11.4	295.8	0	3462	DAP	267	3.08
Sayane	2024	32.6	39	Mixed Soil	7.99513223	Summer Maize	Summer	290	24.3	372	0	3101	DAP	196	3.81
Shirdane Pr Ner	2024	33.3	36.4	Mixed Soil	7.418170324	Onion	Summer	226.4	16.7	288	0	23527	UREA + 19:19:19	183	2.45
Shirdhane Pr Dangari	2024	35.1	31.1	Mixed Soil	8.452029541	Summer Maize	Summer	165.7	20.1	425.7	0	3069	DAP	219	4.89
Shirud	2024	34.1	35.8	Light Black Soil	7.969957836	Summer Maize	Summer	258.3	21.8	227.4	0	2898	DAP	210	4.85
Sitane	2024	34.6	38.6	Light Black Soil	7.401425837	Onion	Summer	198.9	10.9	364.9	0	22171	UREA + 19:19:19	215	2.01
Sonewadi	2024	32.6	34.9	Light Black Soil	7.597798805	Onion	Summer	188.3	23.3	305.3	0	24837	UREA + 19:19:19	147	2.99
Songir	2024	33.6	35.6	Light Black Soil	7.440702648	Onion	Summer	123.4	12.1	428.5	0	22778	UREA + 19:19:19	267	2.2
Sukawad Pr Dangari	2024	32.9	30.8	Mixed Soil	7.28422884	Onion	Summer	223.6	11.5	225.2	0	22960	UREA + 19:19:19	212	2.14
Sutare Pada	2024	32.8	32.8	Mixed Soil	6.862707811	Onion	Summer	240.2	11.1	446.6	0	26505	UREA + 19:19:19	214	1.15
Tamaswadi	2024	33.6	37.9	Light Black Soil	7.687651467	Summer Maize	Summer	241.2	11.2	225.5	0	3800	DAP	268	3.44
Tarwade	2024	32.6	34.2	Light Black Soil	7.602143219	Summer Maize	Summer	297.3	15.6	311.2	0	3333	DAP	244	3.01
Tikhi	2024	33	32	Light Black Soil	7.241183001	Onion	Summer	262.6	24.2	495.8	0	20939	UREA + 19:19:19	142	1.21
Tisgaon	2024	35	36.1	Light Black Soil	7.422917171	Onion	Summer	250.7	15.6	225.1	0	20926	UREA + 19:19:19	189	2.11
Ubhand	2024	33.9	34.8	Light Black Soil	7.926612709	Summer Maize	Summer	255.4	18.4	327.3	0	3778	DAP	229	4.63
Udane	2024	34	31.5	Light Black Soil	7.391649513	Onion	Summer	281.3	11.7	347.8	0	23054	UREA + 19:19:19	211	1.96
Vadjai	2024	35.4	37.6	Light Black Soil	7.315915898	Onion	Summer	102.3	17	216.9	0	21084	UREA + 19:19:19	286	1.58
Vajirkhede	2024	33.7	33.3	Mixed Soil	7.632069692	Onion	Summer	123.8	11.8	394.8	0	25951	UREA + 19:19:19	268	2.96
Vani Bk	2024	34.8	37.2	Light Black Soil	7.988520363	Summer Maize	Summer	249.2	18.8	488.7	0	3358	DAP	227	4.94
Vani Kh	2024	32.7	35.6	Mixed Soil	7.211493962	Onion	Summer	175	14.3	460.6	0	26426	UREA + 19:19:19	196	1.97
Varkhede	2024	33	38	Light Black Soil	7.737708438	Summer Maize	Summer	144.7	24.4	203.6	0	2902	DAP	196	3.69
Velhane	2024	33.5	36.2	Light Black Soil	7.809295692	Summer Maize	Summer	294	10.6	467.3	0	2579	DAP	272	4.05
Vinchur	2024	32.7	32.9	Light Black Soil	7.390110035	Onion	Summer	205.5	24.9	222.1	0	29464	UREA + 19:19:19	138	1.95
Vishwanath	2024	33.2	38.8	Mixed Soil	8.037967793	Summer Maize	Summer	210.8	24.5	356.9	0	2881	DAP	195	3.91
Wadel	2024	32.6	33.5	Light Black Soil	7.494226506	Onion	Summer	225.9	20.4	336.4	0	26690	UREA + 19:19:19	163	2.47
Wadgaon	2024	33.1	35	Light Black Soil	7.705844664	Summer Maize	Summer	225.5	18.8	470.3	0	3464	DAP	227	3.53
Wadne	2024	34	31.9	Mixed Soil	7.877000508	Summer Maize	Summer	109.1	14.2	485.1	0	3341	DAP	276	3.53
Walwadi	2024	34.9	38.9	Light Black Soil	7.628619747	Summer Maize	Summer	278.1	16.8	386	0	2961	DAP	238	3.14
War	2024	34.4	31.7	Light Black Soil	7.272231816	Onion	Summer	155.5	12.8	339.1	0	22803	UREA + 19:19:19	205	1.36
Dhule	2024	33.9	33.4	Mixed Soil	8.220014243	Summer Maize	Summer	170.7	18.8	223.3	0	3325	DAP	227	4.34
Aichale	2024	35	38.8	Light Black Soil	7.456624052	Onion	Summer	294.9	24.8	409.4	0	28515	UREA + 19:19:19	139	2.28
Aine	2024	33.2	37.4	Light Black Soil	7.349214808	Onion	Summer	207.2	14.6	444.1	0	29289	UREA + 19:19:19	195	1.75
Akhade	2024	33.2	31.1	Light Black Soil	7.232620113	Onion	Summer	236.9	12.4	473.3	0	21217	UREA + 19:19:19	207	1.16
Akkalpada	2024	34.5	32.1	Mixed Soil	7.804518003	Summer Maize	Summer	264.5	24.2	417.7	0	2758	DAP	197	3.36
Amali	2024	33.1	33	Light Black Soil	7.742051489	Summer Maize	Summer	222.7	16.3	479.8	0	3769	DAP	240	3.71
Ambapur	2024	33.8	30.2	Light Black Soil	7.213270263	Onion	Summer	273.2	10.7	207.9	0	27271	UREA + 19:19:19	216	1.07
Amkhel	2024	33.2	34.2	Light Black Soil	7.609674447	Summer Maize	Summer	175.3	22.2	496.2	0	3690	DAP	208	3.05
Amode	2024	34.6	33.4	Deep Black Soil	7.18119662	Sugarcane	Summer	130.1	18.9	314.3	0	88105	UREA + MOP + 10:26:26	847	1.91
Ashtane	2024	35.3	31.8	Light Black Soil	7.716138232	Summer Maize	Summer	294	22.6	451.5	0	3312	DAP	206	3.58
Babhulade	2024	33.8	32.4	Light Black Soil	7.339493143	Onion	Summer	193.7	16.2	282	0	26931	UREA + 19:19:19	186	1.7
Bagulnagar	2024	35.1	37.3	Light Black Soil	7.75275019	Summer Maize	Summer	111.3	23	443.9	0	3431	DAP	223	3.76
Balhane	2024	32.8	37.1	Light Black Soil	7.509388277	Onion	Summer	106.9	23.6	277.6	0	24118	UREA + 19:19:19	240	1.73
Balsane	2024	32.6	30.4	Light Black Soil	7.949383991	Summer Maize	Summer	299.9	24.9	366.6	0	2580	DAP	193	2.55
Basar	2024	32.6	33.8	Light Black Soil	7.310016755	Onion	Summer	253.8	24.2	454.9	0	25796	UREA + 19:19:19	142	4.75
Basarawal	2024	33	39.8	Light Black Soil	7.472853081	Onion	Summer	149.5	16.8	238.7	0	22630	UREA + 19:19:19	184	1.55
Behed	2024	34.5	38.2	Light Black Soil	7.290778817	Onion	Summer	209.3	12.8	490.9	0	24522	UREA + 19:19:19	205	2.22
Bhadane	2024	33.9	37.8	Light Black Soil	7.939754895	Summer Maize	Summer	219.6	23.8	226.5	0	3786	DAP	199	2.73
Bhadgaon V	2024	34.3	30.5	Mixed Soil	8.291476901	Summer Maize	Summer	290.8	19.1	268.6	0	3071	DAP	225	2.36
Bhagapur	2024	33.7	37.9	Light Black Soil	7.406353302	Onion	Summer	234.3	19.3	307.4	0	28262	UREA + 19:19:19	169	1.45
Bhamer	2024	34.9	36.3	Light Black Soil	7.727987237	Summer Maize	Summer	122.7	20.1	356.1	0	2801	DAP	219	4.7
Bhondgaon	2024	32.8	32.7	Light Black Soil	7.85377776	Summer Maize	Summer	254.5	17.8	455.7	0	3421	DAP	232	4.51
Bhortipada	2024	33.3	35.5	Light Black Soil	7.644160649	Summer Maize	Summer	210.4	18.4	463	0	3811	DAP	229	2.03
Bodakikhadi	2024	32.6	35.5	Light Black Soil	7.623720463	Summer Maize	Summer	180.7	12	208.6	0	2690	DAP	264	3.64
Bodgaon	2024	33	36.7	Light Black Soil	7.393481833	Onion	Summer	297.4	21.6	259.6	0	20280	UREA + 19:19:19	156	2.47
Bopkhel	2024	35.4	36.1	Light Black Soil	7.274482214	Onion	Summer	251	19.3	411.2	0	24362	UREA + 19:19:19	169	4.27
Bramhanwel	2024	35.2	32.5	Light Black Soil	7.917772606	Summer Maize	Summer	142.6	12	204.4	0	2679	DAP	264	3.22
Burudkhe	2024	33.7	39.1	Light Black Soil	7.920334446	Summer Maize	Summer	170.1	18.8	317.7	0	3518	DAP	227	3.12
Charanmal	2024	34.2	38.2	Light Black Soil	7.706481166	Summer Maize	Summer	187.5	23.6	304.5	0	3731	DAP	200	1.97
